recipe_id,recipe_kind,output_consumable_id,output_tier,ingredient_1_code,ingredient_1_qty,ingredient_2_code,ingredient_2_qty,ingredient_3_code,ingredient_3_qty,ducat_cost,crafting_time_sec,required_level
craft_consumable_healing_potion,craft,healing_potion,base,ingredient_bloodleaf,1,ingredient_fenroot,1,reagent_binder_salts,1,250,300,1
craft_consumable_second_wind_potion,craft,second_wind_potion,base,ingredient_fenroot,1,ingredient_duskmint,1,reagent_binder_salts,1,300,600,1
craft_consumable_wardens_tonic,craft,wardens_tonic,base,ingredient_ironbloom,1,ingredient_bloodleaf,1,reagent_binder_salts,1,450,900,1
craft_consumable_hunters_tonic,craft,hunters_tonic,base,ingredient_ironbloom,1,ingredient_duskmint,1,reagent_binder_salts,1,450,900,1
craft_consumable_emberwake_tonic,craft,emberwake_tonic,base,ingredient_ironbloom,1,ingredient_emberbud,1,reagent_ward_resin,1,900,1800,15
craft_consumable_berserkers_tonic,craft,berserkers_tonic,base,ingredient_duskmint,1,ingredient_emberbud,1,reagent_ward_resin,1,1000,1800,15
craft_consumable_bulwark_tonic,craft,bulwark_tonic,base,ingredient_ironbloom,1,ingredient_kingsfoil,1,reagent_ward_resin,1,1100,2400,15
craft_consumable_wardwash_tonic,craft,wardwash_tonic,base,ingredient_duskmint,1,ingredient_kingsfoil,1,reagent_ward_resin,1,1100,2400,15
craft_consumable_travelers_elixir,craft,travelers_elixir,base,ingredient_fenroot,1,ingredient_kingsfoil,1,reagent_ward_resin,1,1300,3600,15
craft_consumable_deadeye_elixir,craft,deadeye_elixir,base,ingredient_duskmint,1,ingredient_kingsfoil,1,reagent_ward_resin,1,1400,3600,15
craft_consumable_wardens_challenge_elixir,craft,wardens_challenge_elixir,base,ingredient_ironbloom,1,ingredient_kingsfoil,1,reagent_ward_resin,1,1500,3600,15
craft_consumable_shadowveil_elixir,craft,shadowveil_elixir,base,ingredient_duskmint,1,ingredient_kingsfoil,1,reagent_ward_resin,1,1500,3600,15
craft_consumable_contractors_resolve_elixir,craft,contractors_resolve_elixir,base,ingredient_kingsfoil,1,ingredient_emberbud,1,reagent_ward_resin,1,1500,3600,15
craft_consumable_sunspike_elixir,craft,sunspike_elixir,base,ingredient_emberbud,1,ingredient_sunspike,1,reagent_aether_catalyst,1,2500,7200,30
craft_consumable_graveward_elixir,craft,graveward_elixir,base,ingredient_ironbloom,1,ingredient_gravebloom,1,reagent_black_ichor,1,2600,7200,30
craft_consumable_ravagers_tonic,craft,ravagers_tonic,base,ingredient_sunspike,1,ingredient_gravebloom,1,reagent_black_ichor,1,3000,7200,30
craft_consumable_hexcleanse_tonic,craft,hexcleanse_tonic,base,ingredient_shadecap,1,ingredient_gravebloom,1,reagent_black_ichor,1,3200,10800,30
craft_consumable_warcallers_elixir,craft,warcallers_elixir,base,ingredient_gravebloom,1,ingredient_sunspike,1,reagent_aether_catalyst,1,3600,10800,30
craft_consumable_chroniclers_elixir,craft,chroniclers_elixir,base,ingredient_shadecap,1,ingredient_sunspike,1,reagent_aether_catalyst,1,4000,14400,30
